"Problem","NumDims","Method","OldMedian","Order","NewMedian","Pvalue","Level","StatSignDiff"
"Schwefel1.2",5,"de_rand_1_bin",7.119004537665346e-9,">",1.3797100158352853e-9,1.2368565547229417e-7,0.01,"Yes"
"Schwefel1.2",10,"de_rand_1_bin",1.1911052253337773e-6,">",8.436934873085526e-7,0.12225761704200096,0.01,"No"
"Schwefel1.2",30,"de_rand_1_bin",4856.249797911673,">",4503.080091418104,0.5934426102712209,0.01,"No"
"Schwefel1.2",50,"de_rand_1_bin",46265.99031095118,">",43862.830698914986,0.022187503885644094,0.01,"No"
"Rosenbrock",5,"de_rand_1_bin",8.856658842043386e-5,"<",0.007284384353143559,0.31990451009808685,0.01,"No"
"Rosenbrock",10,"de_rand_1_bin",0.001215597566446487,">",0.000823385841550638,0.28312427252351535,0.01,"No"
"Rosenbrock",30,"de_rand_1_bin",8.53748226981592,"<",9.009744222806699,0.020807229355723014,0.01,"No"
"Rosenbrock",50,"de_rand_1_bin",28.594152635406704,">",28.110519843530703,0.12499827454003412,0.01,"No"
"Rosenbrock",30,"de_rand_1_bin",8.53748226981592,"<",8.82904969518269,0.06103488271680726,0.01,"No"
"Sphere",5,"de_rand_1_bin",7.752321952632682e-9,">",2.524168471779265e-18,2.238233598714198e-12,0.01,"Yes"
"Sphere",10,"de_rand_1_bin",8.520310808867068e-9,">",6.830824971466566e-17,2.238233598714198e-12,0.01,"Yes"
"Sphere",30,"de_rand_1_bin",9.48813463306853e-9,">",8.54133247248973e-14,2.238233598714198e-12,0.01,"Yes"
"Schwefel2.22",5,"de_rand_1_bin",8.721052894907173e-9,">",2.963101173709944e-10,2.238233598714198e-12,0.01,"Yes"
"Schwefel2.22",10,"de_rand_1_bin",9.124068703645527e-9,">",5.837143786672206e-10,2.238233598714198e-12,0.01,"Yes"
"Schwefel2.22",30,"de_rand_1_bin",1.954802737480561e-8,">",1.8593299569645138e-8,0.9775843287013927,0.01,"No"
"Schwefel2.21",5,"de_rand_1_bin",2.2941564743657024e-7,"<",3.2727534236255503e-7,0.30377524059881233,0.01,"No"
"Schwefel2.21",10,"de_rand_1_bin",6.94546600222232e-5,">",4.6116243116675056e-5,0.1942502480482485,0.01,"No"
"Schwefel2.21",30,"de_rand_1_bin",6.846917133407874,"<",10.102780450605197,0.06950803572810525,0.01,"No"
"Schwefel1.2",5,"de_rand_1_bin_radiuslimited",7.286311539451725e-9,">",3.5312253206406706e-10,7.36558106629027e-11,0.01,"Yes"
"Schwefel1.2",10,"de_rand_1_bin_radiuslimited",8.567922399249723e-9,">",1.1346061988259593e-12,2.238233598714198e-12,0.01,"Yes"
"Schwefel1.2",30,"de_rand_1_bin_radiuslimited",0.09575482914707689,"<",0.1324956391076032,0.2933278179639399,0.01,"No"
"Schwefel1.2",50,"de_rand_1_bin_radiuslimited",156.23923912770474,">",153.08084513174438,0.897160749960968,0.01,"No"
"Rosenbrock",5,"de_rand_1_bin_radiuslimited",0.00037401193926799633,"<",0.13867130831645202,0.016926803091936633,0.01,"No"
"Rosenbrock",10,"de_rand_1_bin_radiuslimited",0.02179574087819555,"<",0.03048964836107354,0.10199061000616602,0.01,"No"
"Rosenbrock",30,"de_rand_1_bin_radiuslimited",10.280394067632201,"<",12.563219593612112,0.00038222316468955404,0.01,"Yes"
"Rosenbrock",50,"de_rand_1_bin_radiuslimited",36.74094560118371,"<",37.64490327726886,0.5181212123245235,0.01,"No"
"Rosenbrock",30,"de_rand_1_bin_radiuslimited",10.280394067632201,"<",13.323925765971003,6.264251916504846e-5,0.01,"Yes"
"Sphere",5,"de_rand_1_bin_radiuslimited",8.010512010119269e-9,">",8.307677281283286e-19,2.238233598714198e-12,0.01,"Yes"
"Sphere",10,"de_rand_1_bin_radiuslimited",7.97061761898391e-9,">",1.3117236686351231e-18,2.238233598714198e-12,0.01,"Yes"
"Sphere",30,"de_rand_1_bin_radiuslimited",9.4020421374262e-9,">",3.954861005907439e-18,2.238233598714198e-12,0.01,"Yes"
"Schwefel2.22",5,"de_rand_1_bin_radiuslimited",8.561722658160162e-9,">",5.5047215787761277e-11,2.238233598714198e-12,0.01,"Yes"
"Schwefel2.22",10,"de_rand_1_bin_radiuslimited",9.163591110384375e-9,">",9.072435301160767e-11,2.238233598714198e-12,0.01,"Yes"
"Schwefel2.22",30,"de_rand_1_bin_radiuslimited",9.514818917337872e-9,">",3.010758929390767e-11,2.238233598714198e-12,0.01,"Yes"
"Schwefel2.21",5,"de_rand_1_bin_radiuslimited",8.923495266194397e-8,"<",9.413994346725294e-8,0.24020337558750687,0.01,"No"
"Schwefel2.21",10,"de_rand_1_bin_radiuslimited",3.3462354644281944e-5,"<",3.891543948827881e-5,0.5627173615805721,0.01,"No"
"Schwefel2.21",30,"de_rand_1_bin_radiuslimited",12.71475677490506,"<",13.589729330754986,0.8003623598169844,0.01,"No"
"Schwefel1.2",5,"adaptive_de_rand_1_bin",2.4705140171174964e-7,">",2.076946458409291e-7,0.7402280398129669,0.01,"No"
"Schwefel1.2",10,"adaptive_de_rand_1_bin",9.421235505409675e-9,">",2.3598491328314052e-9,1.7924064663134572e-10,0.01,"Yes"
"Schwefel1.2",30,"adaptive_de_rand_1_bin",5.1448027118052205e-6,">",2.7771468621071234e-6,0.11176208258594958,0.01,"No"
"Schwefel1.2",50,"adaptive_de_rand_1_bin",0.027518918708096227,"<",0.029681102671647357,0.9507104259838587,0.01,"No"
"Rosenbrock",5,"adaptive_de_rand_1_bin",8.24877458313394e-9,">",1.4166229360337348e-11,9.926802392631202e-11,0.01,"Yes"
"Rosenbrock",10,"adaptive_de_rand_1_bin",6.05654734062672e-6,">",3.673761318842506e-6,0.8090597917633848,0.01,"No"
"Rosenbrock",30,"adaptive_de_rand_1_bin",5.102817424306732,"<",5.232073061931648,0.8944299461170129,0.01,"No"
"Rosenbrock",50,"adaptive_de_rand_1_bin",25.392810843605155,"<",25.433509616431778,0.5627173615805721,0.01,"No"
"Rosenbrock",30,"adaptive_de_rand_1_bin",5.102817424306732,"<",5.134546526300059,0.5432171880660329,0.01,"No"
"Sphere",5,"adaptive_de_rand_1_bin",7.72121465973762e-9,">",1.5479043838401945e-12,2.238233598714198e-12,0.01,"Yes"
"Sphere",10,"adaptive_de_rand_1_bin",8.570975511751045e-9,">",3.4099463812495214e-11,2.238233598714198e-12,0.01,"Yes"
"Sphere",30,"adaptive_de_rand_1_bin",9.397874465093257e-9,">",4.2079424326733875e-11,2.238233598714198e-12,0.01,"Yes"
"Schwefel2.22",5,"adaptive_de_rand_1_bin",6.747039585196547e-8,">",6.033174986853503e-8,0.9507104259838587,0.01,"No"
"Schwefel2.22",10,"adaptive_de_rand_1_bin",4.6834599371097855e-7,">",4.2298155311584305e-7,0.17563970280191515,0.01,"No"
"Schwefel2.22",30,"adaptive_de_rand_1_bin",6.224690438205928e-7,"<",8.561167092196313e-7,0.21426874200777296,0.01,"No"
"Schwefel2.21",5,"adaptive_de_rand_1_bin",0.00035934109446339555,"<",0.0005922421047187398,0.012794268138403495,0.01,"No"
"Schwefel2.21",10,"adaptive_de_rand_1_bin",0.02397805693110705,">",0.021831179062730306,0.5551577579946674,0.01,"No"
"Schwefel2.21",30,"adaptive_de_rand_1_bin",1.7339602166355992,"<",1.7877469728593527,0.8265245721959555,0.01,"No"
"Schwefel1.2",5,"adaptive_de_rand_1_bin_radiuslimited",1.8239207657878703e-8,"<",2.7415928286705243e-8,0.4965289660219223,0.01,"No"
"Schwefel1.2",10,"adaptive_de_rand_1_bin_radiuslimited",8.80567219549764e-9,">",9.684803329281596e-16,2.238233598714198e-12,0.01,"Yes"
"Schwefel1.2",30,"adaptive_de_rand_1_bin_radiuslimited",1.3057293486030883e-8,">",9.800426982737509e-9,0.026438570079142996,0.01,"No"
"Schwefel1.2",50,"adaptive_de_rand_1_bin_radiuslimited",0.0007391430107400506,"<",0.001006372279252729,0.05976307581100762,0.01,"No"
"Rosenbrock",5,"adaptive_de_rand_1_bin_radiuslimited",8.721532466342317e-9,">",1.651175040052258e-10,1.465201080282338e-6,0.01,"Yes"
"Rosenbrock",10,"adaptive_de_rand_1_bin_radiuslimited",1.3805849055563708e-7,">",3.837364434134604e-8,0.056778051002916795,0.01,"No"
"Rosenbrock",30,"adaptive_de_rand_1_bin_radiuslimited",4.947780945404557,"<",6.486287045153673,0.16397805797609033,0.01,"No"
"Rosenbrock",50,"adaptive_de_rand_1_bin_radiuslimited",30.71956592899476,"<",32.53749775463501,0.17563970280191515,0.01,"No"
"Rosenbrock",30,"adaptive_de_rand_1_bin_radiuslimited",4.947780945404557,"<",6.666258445972402,0.02046909474972141,0.01,"No"
"Sphere",5,"adaptive_de_rand_1_bin_radiuslimited",6.9696704752905564e-9,">",2.1568781368705127e-13,2.238233598714198e-12,0.01,"Yes"
"Sphere",10,"adaptive_de_rand_1_bin_radiuslimited",8.513186458049429e-9,">",5.7219481201712354e-12,2.238233598714198e-12,0.01,"Yes"
"Sphere",30,"adaptive_de_rand_1_bin_radiuslimited",9.269520979790853e-9,">",2.1845802324055117e-13,2.238233598714198e-12,0.01,"Yes"
"Schwefel2.22",5,"adaptive_de_rand_1_bin_radiuslimited",1.3774708862931864e-8,"<",1.9042861898492163e-8,0.007601641475220176,0.01,"Yes"
"Schwefel2.22",10,"adaptive_de_rand_1_bin_radiuslimited",5.19396366504799e-8,"<",8.536204563512211e-8,0.012007523522859768,0.01,"No"
"Schwefel2.22",30,"adaptive_de_rand_1_bin_radiuslimited",1.1855387823729556e-8,"<",2.3973681367645136e-8,2.695471360038315e-5,0.01,"Yes"
"Schwefel2.21",5,"adaptive_de_rand_1_bin_radiuslimited",0.00021264312361702535,"<",0.0002839460642321057,0.020909167474176347,0.01,"No"
"Schwefel2.21",10,"adaptive_de_rand_1_bin_radiuslimited",0.010604498603295709,"<",0.013919701853145153,0.00927263490774628,0.01,"Yes"
"Schwefel2.21",30,"adaptive_de_rand_1_bin_radiuslimited",1.134382987268184,"<",1.184390245013141,0.6328930984663507,0.01,"No"
